imgs,labels,azimuth
collection_train_train_+_fog_OR_foggy_OR_smog_google_0110_0.jpg,train,4.128483741117577e-06
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0000_0.jpg,aeroplane,356.63077557046324
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0002_0.jpg,aeroplane,44.36059682901021
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0003_0.jpg,aeroplane,6.808675308510968e-08
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0004_0.jpg,aeroplane,345.40095420067746
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0005_0.jpg,aeroplane,346.4966609636417
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0006_0.jpg,aeroplane,28.626297460893632
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0007_0.jpg,aeroplane,176.00059976022487
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0008_0.jpg,aeroplane,316.3507002850984
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0009_0.jpg,aeroplane,212.50000005602425
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0012_0.jpg,aeroplane,87.12145558340114
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0014_0.jpg,aeroplane,215.12285923051644
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0015_0.jpg,aeroplane,267.5000002108145
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0016_0.jpg,aeroplane,5.9600203187269614e-08
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0018_0.jpg,aeroplane,248.77318699561087
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0019_0.jpg,aeroplane,355.47963416132893
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0021_0.jpg,aeroplane,310.52371753084043
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0021_1.jpg,aeroplane,98.04935904266434
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0021_2.jpg,aeroplane,117.9888793096588
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0022_0.jpg,aeroplane,196.42879741626425
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0023_0.jpg,aeroplane,1.3375327362187322e-08
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0024_0.jpg,aeroplane,3.419071857975209e-07
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0025_0.jpg,aeroplane,2.925435107705838
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0026_0.jpg,aeroplane,340.8405026799383
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0027_0.jpg,aeroplane,177.93586506541644
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0028_0.jpg,aeroplane,16.618700149362038
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0028_1.jpg,aeroplane,218.4312843551509
