imgs,pred
collection_aeroplane_aeroplane_+_indoor_google_0022_0.jpg,train
collection_aeroplane_aeroplane_+_indoor_google_0047_0.jpg,train
collection_aeroplane_aeroplane_+_indoor_google_0047_1.jpg,train
collection_aeroplane_aeroplane_+_indoor_google_0047_2.jpg,train
collection_aeroplane_aeroplane_+_indoor_google_0047_3.jpg,train
collection_aeroplane_aeroplane_+_indoor_google_0182_0.jpg,train
collection_aeroplane_aeroplane_+_indoor_google_0184_0.jpg,train
collection_aeroplane_aeroplane_+_indoor_google_0186_0.jpg,train
collection_aeroplane_aeroplane_+_indoor_google_0191_0.jpg,train
collection_aeroplane_aeroplane_+_indoor_google_0192_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0000_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0001_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0002_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0003_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0004_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0004_1.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0005_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0006_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0007_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0008_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0009_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0010_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0014_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0015_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0015_1.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0016_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0021_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0022_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0022_1.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0023_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0026_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0029_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0031_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0032_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0034_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0035_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0036_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0037_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0040_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0040_1.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0040_2.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0041_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0043_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0044_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0045_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0048_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0053_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0053_1.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0058_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0059_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0059_1.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0060_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0061_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0062_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0071_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0071_1.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0072_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0074_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0077_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0083_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0085_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0086_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0086_1.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0087_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0088_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0090_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0090_1.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0090_2.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0093_0.jpg,train
collection_aeroplane_aeroplane_+_outspace_google_0094_0.jpg,train
