imgs,pred
collection_aeroplane_aeroplane_+_underwater_google_0103_0.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0000_0.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0000_1.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0005_0.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0011_0.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0013_0.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0014_0.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0014_1.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0015_0.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0022_0.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0037_0.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0038_0.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0040_0.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0040_1.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0048_0.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0049_0.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0050_0.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0051_0.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0053_0.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0054_0.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0055_0.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0055_1.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0058_0.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0061_0.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0062_0.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0067_0.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0073_0.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0074_0.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0080_0.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0081_0.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0083_0.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0085_0.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0088_0.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0091_0.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0091_1.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0091_2.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0095_0.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0098_0.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0098_1.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0099_0.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0100_0.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0102_0.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0103_0.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0109_0.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0111_0.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0112_0.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0118_0.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0125_0.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0130_0.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0140_0.jpg,train
collection_aeroplane_aeroplane_+_pokemon_google_0143_0.jpg,train
