imgs,pred
collection_train_train_+_fog_OR_foggy_OR_smog_google_0110_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0000_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0002_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0003_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0004_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0005_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0006_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0007_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0008_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0009_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0012_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0014_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0015_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0016_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0018_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0019_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0021_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0021_1.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0021_2.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0022_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0023_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0024_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0025_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0026_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0027_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0028_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0028_1.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0029_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0031_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0032_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0033_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0034_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0035_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0038_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0039_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0040_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0043_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0044_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0045_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0047_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0048_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0050_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0051_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0052_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0055_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0055_1.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0057_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0058_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0058_1.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0060_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0061_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0061_1.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0062_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0063_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0066_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0066_1.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0069_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0072_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0074_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0075_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0075_1.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0075_2.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0075_3.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0075_4.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0075_5.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0076_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0077_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0077_1.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0077_2.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0077_3.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0077_4.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0078_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0081_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0082_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0089_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0091_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0093_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0093_1.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0098_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0101_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0102_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0110_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0115_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0118_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0120_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0122_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0125_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0128_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0129_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0132_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0133_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0136_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0136_1.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0138_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0139_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0139_1.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0140_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0142_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0143_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0144_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0147_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0147_1.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0154_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0155_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0159_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0160_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0161_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0168_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0169_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0175_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0177_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0179_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0179_1.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0181_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0182_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0184_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0185_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0186_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0187_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0189_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0191_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0192_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0193_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0194_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0195_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0198_0.jpg,train
collection_aeroplane_aeroplane_+_fog_OR_foggy_OR_smog_google_0199_0.jpg,train
